"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000020423"	5644.67386691859	1.30383398525583	0.165364550231487	6.07311980725362e-16	1.14271822293284e-11
"ENSMUSG00000039910"	3134.05479750509	0.840890652659706	0.147298561443477	5.17369312981531e-09	4.86741049653025e-05
"ENSMUSG00000052837"	12593.933629139	1.46630044935933	0.304643975129692	4.17374463844957e-08	0.000196332947792668
"ENSMUSG00000085156"	325.430938614959	0.83084641898496	0.157079945816683	3.67341865371128e-08	0.000196332947792668
"ENSMUSG00000021250"	3715.3802987673	1.5585403917735	0.370066841216255	1.00552405415797e-07	0.00031533234338394
"ENSMUSG00000120562"	52.0244526825312	1.63370436898513	0.408503128485175	1.00441404602812e-07	0.00031533234338394
"ENSMUSG00000084939"	131.007866522058	-1.28429617252336	0.452706581196298	1.20120782457261e-06	0.00317880522352505
"ENSMUSG00000121015"	83.0898983088596	0.993280758528397	0.298598035336472	1.3515328331314e-06	0.00317880522352505
"ENSMUSG00000040435"	2138.4005225149	0.581180983517614	0.191050081622386	2.31481589162311e-06	0.00427714475232449
"ENSMUSG00000053560"	1082.60130249236	0.605532524591669	0.202754288289688	2.49701958654392e-06	0.00427714475232449
"ENSMUSG00000024190"	3354.44154460764	0.676839133162007	0.225993144110381	2.50045664729854e-06	0.00427714475232449
"ENSMUSG00000047786"	337.880003751247	-0.344473440541001	0.140288528314268	3.48321985336597e-06	0.00546168873007785
"ENSMUSG00000002808"	1610.56910698016	-0.514386981824995	0.20577612446598	4.25820055662455e-06	0.00616325397488058
"ENSMUSG00000090582"	216.968496775196	0.781730421011191	0.402462380145357	8.30082809522859e-06	0.0111563129599872
"ENSMUSG00000082766"	19.6955480177706	-0.681775753163037	0.660358890247297	2.35927005178901e-05	0.0295946835296413
"ENSMUSG00000041827"	232.705003410808	-0.360802422578733	0.357015773386678	4.60871419401594e-05	0.0481764257081133
"ENSMUSG00000060586"	1584.71530055157	-0.347469168351854	0.338680941722431	4.39591679581724e-05	0.0481764257081133
"ENSMUSG00000073409"	102.862534107924	-0.520137360602224	0.616456178441249	4.39804977079413e-05	0.0481764257081133
"ENSMUSG00000077167"	159.487633043056	0.447793664179102	0.46626023148738	4.95547622688497e-05	0.0490748635184566
"ENSMUSG00000052565"	1056.53834922819	-0.242311370894101	0.278514386812193	5.98349958917616e-05	0.0562927641349693
"ENSMUSG00000075558"	25.0302291459366	0.432335155522746	0.576971322336974	6.35203723313527e-05	0.056914253608892
"ENSMUSG00000036594"	2158.34015935214	-0.272930398633209	0.320268171573872	6.70362675153954e-05	0.0573342913440763
"ENSMUSG00000100210"	776.190234815867	-0.10030943064272	0.149697256785811	7.13378725172988e-05	0.0583605830124128
"ENSMUSG00000086231"	534.429733675689	0.356801771193769	0.480341710402397	8.53924954189071e-05	0.064458648749886
"ENSMUSG00000113041"	70.9048288624994	0.36590668227402	0.51434503411562	8.56434002310347e-05	0.064458648749886
"ENSMUSG00000025938"	122.613917526341	-0.2172398350725	0.339863965619572	0.000135068640356978	0.094389607216307
"ENSMUSG00000051457"	169.512334123084	-0.150533875470838	0.249698561592084	0.000140460725024266	0.094389607216307
"ENSMUSG00000036322"	2171.08029554682	-0.178420171075265	0.285503951588657	0.000136701801711108	0.094389607216307
"ENSMUSG00000072844"	58.7365473159783	0.239870061541505	0.411676942114906	0.000157343349471974	0.0984087165401532
